,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,clusters,uri,song,artist
0,0.845,0.561,0,-7.006,1,0.0988,0.111,0.0,0.0442,0.889,129.983,19,spotify:track:1EwZUh0VdTJp12EcBwez6O,This Bed,Alicia Keys
0,0.45,0.434,0,-8.952,1,0.0295,0.378,0.00236,0.108,0.227,139.544,17,spotify:track:1fDm1kCj6dwmviArCtCsOA,Distance and Time,Alicia Keys
0,0.554,0.447,2,-8.573,1,0.0339,0.277,9.56e-05,0.119,0.301,141.899,17,spotify:track:7ahSkRJouFINMWokIywAwG,How It Feels to Fly,Alicia Keys
0,0.479,0.368,6,-7.784,1,0.0341,0.739,4.1e-05,0.118,0.142,92.959,17,spotify:track:5sra5UY6sD658OabHL3QtI,Empire State of Mind (Part II) Broken Down,Alicia Keys
0,0.594,0.721,2,-7.812,1,0.0957,0.0209,8.55e-06,0.0879,0.253,128.942,18,spotify:track:5Wn0mCHOPH6TbbWoNIG3BU,Green Light,Lorde
0,0.75,0.485,6,-10.337,1,0.252,0.157,0.0049,0.133,0.462,107.923,16,spotify:track:0fK5R7Z44yzNHXfcv2QCfK,Sober,Lorde
0,0.78,0.436,10,-5.448,1,0.0614,0.301,1.52e-05,0.097,0.242,107.016,2,spotify:track:1iEvAoG05TQvIed18AUQf7,Homemade Dynamite,Lorde
0,0.664,0.382,0,-9.977,1,0.047,0.239,0.00749,0.0943,0.126,123.214,17,spotify:track:0MYIrBXK8cmJwY0Ny98L7x,The Louvre,Lorde
0,0.587,0.229,10,-11.254,0,0.128,0.92,0.0,0.1,0.379,75.67,15,spotify:track:0p09nVtk8gkpHJsyi0Ha5g,Liability,Lorde
0,0.427,0.442,1,-10.941,0,0.187,0.0354,0.0112,0.0778,0.181,194.03,11,spotify:track:63qxXTRmQUjZ9sxb6lKuRi,Hard Feelings/Loveless,Lorde
0,0.54,0.32,11,-11.624,1,0.0448,0.143,8.49e-06,0.073,0.103,112.996,2,spotify:track:43GD40JjZ4NLPEJ5gFgX8A,Sober II (Melodrama),Lorde
0,0.325,0.271,7,-8.069,1,0.0418,0.73,0.0,0.301,0.279,71.855,14,spotify:track:3ekoyjBfO9cCAp83JUcoVk,Writer In The Dark,Lorde
0,0.562,0.437,0,-10.229,1,0.052,0.219,2.18e-05,0.0806,0.15,124.852,17,spotify:track:5hCV3Wp2kUWwXYboT7wZQu,Supercut,Lorde
0,0.553,0.281,0,-12.079,1,0.065,0.904,0.0,0.111,0.285,77.671,5,spotify:track:2oIDOl0I0nHPi1haUSAdfk,Liability (Reprise),Lorde
0,0.616,0.574,1,-5.323,0,0.0507,0.00288,1.99e-05,0.111,0.525,104.174,13,spotify:track:24R0xROgtKAl9ST4GpHkMD,Perfect Places,Lorde
0,0.637,0.557,7,-10.196,1,0.041,0.137,0.0201,0.0977,0.4,122.044,2,spotify:track:75DCJ8rDhn9b47DR9IKqYJ,Made For You,OneRepublic
0,0.528,0.948,0,-3.522,1,0.0475,0.259,1e-05,0.283,0.651,146.036,19,spotify:track:5O9OqGQBPbYFkqh6nXzgZb,All The Right Moves,OneRepublic
0,0.516,0.762,2,-6.224,1,0.0361,0.0734,0.0,0.116,0.382,148.018,10,spotify:track:0tgnTzjIkj8mVVEh0SNH0t,Secrets,OneRepublic
0,0.575,0.899,4,-5.749,1,0.0847,0.0509,0.0,0.0902,0.668,170.12,10,spotify:track:6aXer8R9oyReXmjzpq73oR,Everybody Loves Me,OneRepublic
0,0.269,0.445,0,-12.359,1,0.0408,0.498,0.00129,0.246,0.0788,164.908,17,spotify:track:7z7PtlWOgaKfS8nBdaVm8n,Missing Persons 1 & 2,OneRepublic
0,0.635,0.692,6,-7.791,1,0.0515,0.0804,0.0,0.124,0.68,94.989,16,spotify:track:5FbfPxWMDM3yEnNUJS0HLQ,Good Life,OneRepublic
0,0.529,0.504,0,-8.807,1,0.0435,0.0381,2.45e-06,0.156,0.359,144.931,18,spotify:track:2ngdaQ4fGcvKJOa7M3Grf7,All This Time,OneRepublic
0,0.543,0.564,7,-11.541,1,0.0254,0.336,0.741,0.108,0.442,110.04,12,spotify:track:2ms6WgC3WCGkPyVkertlzr,Fear,OneRepublic
0,0.185,0.554,6,-6.939,1,0.034,0.0494,0.0118,0.168,0.0582,120.034,2,spotify:track:2xqAQf13o3UONNMoVw5WnU,Waking Up,OneRepublic
0,0.505,0.821,11,-8.57,1,0.0729,0.37,0.0063,0.127,0.341,123.044,2,spotify:track:7xXzrsVZqbzE5yDfArysnE,Marchin On,OneRepublic
